city name,cloudiness,country,date,max_temp,humidity,lat,lng,wind_speed
Leningradskiy,6,RU,1644254637,-29.34,99,69.3833,178.4167,5.41
Mahanoro,99,MG,1644254751,80.26,85,-19.9,48.8,9.53
Zhangaözen,72,KZ,1644254751,31.26,81,43.3,52.8,8.25
Manisa Province,74,TR,1644254494,47.05,67,38.8333,28.1667,7.38
Inhambane,75,MZ,1644254751,76.98,88,-23.865,35.3833,16.11
Berlevåg,0,NO,1644254752,22.95,74,70.8578,29.0864,26.46
Cidreira,0,BR,1644254632,77.65,43,-30.1811,-50.2056,15.43
Priargunsk,85,RU,1644254752,-19.75,100,50.3691,119.1012,1.14
High Level,75,CA,1644254722,32.11,93,58.5169,-117.136,2.3
Najrān,5,SA,1644254753,61.45,27,17.4924,44.1277,7.14
Soyo,7,AO,1644254753,82.45,77,-6.1349,12.3689,13.67
Faanui,98,PF,1644254754,81.3,75,-16.4833,-151.75,19.8
Saskylakh,92,RU,1644254754,-12.15,94,71.9167,114.0833,11.39
Nísia Floresta,47,BR,1644254754,88.61,47,-6.0911,-35.2086,12.5
Pangnirtung,75,CA,1644254755,-29.2,68,66.1451,-65.7125,3.44
Puerto Madryn,0,AR,1644254456,87.01,21,-42.7692,-65.0385,22.24
Auki,100,SB,1644254755,79.34,88,-8.7676,160.7034,9.22
Tambopata,75,PE,1644254756,78.69,78,-12.7333,-69.1833,3.44
Makkah al Mukarramah,4,SA,1644254756,74.98,33,21.4267,39.8261,3.24
Vaini,100,TO,1644254604,79.32,81,-21.2,-175.2,25.41
Ahipara,100,NZ,1644254588,72.45,98,-35.1667,173.1667,5.73
Suoyarvi,100,RU,1644254757,25.5,97,62.0833,32.35,6.69
Zhigansk,66,RU,1644254757,-33.92,98,66.7697,123.3711,9.35
Kaitangata,27,NZ,1644254757,51.93,86,-46.2817,169.8464,2.75
Halifax,75,CA,1644254510,36.09,78,44.6453,-63.5724,10.36
Airai,90,TL,1644254758,61.5,92,-8.9266,125.4092,1.63
Codrington,0,AU,1644254758,61.79,65,-38.2667,141.9667,10.6
Nizhneangarsk,100,RU,1644254759,9.64,96,55.7833,109.55,3.53
Fortuna,100,US,1644254615,43.14,100,40.5982,-124.1573,6.91
Mount Isa,75,AU,1644254759,73.17,83,-20.7333,139.5,4.61
Ust-Nera,22,RU,1644254759,-27.49,76,64.5667,143.2,0.69
Atuona,26,PF,1644254760,78.57,75,-9.8,-139.0333,19.19
Port Hardy,75,CA,1644254760,45.75,93,50.6996,-127.4199,4.61
Sorong,53,ID,1644254760,78.78,82,-0.8833,131.25,4.27
Pontal do Paraná,44,BR,1644254761,92.41,69,-25.6533,-48.5128,8.01
Mount Gambier,0,AU,1644254761,62.51,59,-37.8333,140.7667,8.05
São Lourenço do Sul,29,BR,1644254642,80.65,50,-31.3653,-51.9783,15.14
Sept-Îles,100,CA,1644254762,19.06,72,50.2001,-66.3821,4.61
Qiongshan,100,CN,1644254762,69.78,100,20.0058,110.3542,11.18
Ribeira Grande,40,PT,1644254762,63.0,67,38.5167,-28.7,16.11
Butaritari,92,KI,1644254763,81.66,76,3.0707,172.7902,16.62
Bathsheba,40,BB,1644254763,84.81,61,13.2167,-59.5167,21.85
Vila Franca do Campo,68,PT,1644254763,59.41,69,37.7167,-25.4333,9.44
Port Blair,40,IN,1644254764,78.84,78,11.6667,92.75,8.05
Cherskiy,27,RU,1644254764,-33.81,100,68.75,161.3,0.87
Walvis Bay,97,NA,1644254765,83.35,54,-22.9575,14.5053,12.66
Greensboro,100,US,1644254540,34.88,81,36.0726,-79.792,6.91
Mozarlândia,100,BR,1644254765,77.04,84,-14.7447,-50.5706,0.58
Sakaiminato,75,JP,1644254766,37.38,93,35.55,133.2333,4.61
Nome,0,US,1644254766,-9.33,54,64.5011,-165.4064,17.27
Río Gallegos,0,AR,1644254766,82.45,20,-51.6226,-69.2181,20.71
Antalaha,96,MG,1644254767,77.63,89,-14.9003,50.2788,0.96
La Asuncion,64,VE,1644254767,85.73,66,11.0333,-63.8628,16.11
Huallanca,100,PE,1644254768,56.25,62,-9.8993,-76.9417,6.31
Borås,0,SE,1644254592,36.55,79,57.721,12.9401,5.48
Dikson,100,RU,1644254768,-3.5,93,73.5069,80.5464,27.29
Mongo,2,TD,1644254769,81.27,12,12.1844,18.693,8.34
Hanchuan,64,CN,1644254769,33.91,92,30.65,113.7667,7.4
Calama,20,CL,1644254769,77.49,9,-22.4667,-68.9333,21.85
Husavik,83,IS,1644254650,30.11,60,66.0449,-17.3389,18.77
Marsá Maţrūḩ,12,EG,1644254770,61.07,55,31.3525,27.2453,4.27
Khovd,3,MN,1644254770,-11.99,73,48.0056,91.6419,2.44
Kurchum,53,KZ,1644254771,3.18,83,48.5722,83.6542,3.76
Marsh Harbour,0,BS,1644254771,75.09,67,26.5412,-77.0636,11.52
Nikol'sk,99,RU,1644254771,21.58,95,53.7189,46.0712,7.02
Ettaiyapuram,48,IN,1644254772,77.79,69,9.1441,77.9907,4.52
Ancud,53,CL,1644254772,74.73,62,-41.8697,-73.8203,8.86
Pont-Rouge,100,CA,1644254750,26.58,81,46.7566,-71.6978,2.73
Hervey Bay,56,AU,1644254773,66.31,76,-25.2986,152.8535,17.72
Sur,0,OM,1644254773,69.22,61,22.5667,59.5289,4.61
Norman Wells,75,CA,1644254765,-20.16,69,65.282,-126.8329,17.27
Hoa Binh,88,VN,1644254771,68.22,85,20.8133,105.3383,2.95
Lhokseumawe,99,ID,1644254774,76.75,84,5.1801,97.1507,4.65
Lavrentiya,15,RU,1644254774,-27.69,91,65.5833,-171.0,11.9
Ampanihy,100,MG,1644254774,80.28,69,-24.7,44.75,21.18
Nuuk,100,GL,1644254775,2.88,85,64.1835,-51.7216,15.99
Beringovskiy,26,RU,1644254644,-20.47,96,63.05,179.3167,10.89
